행정동,인구수_Z,유동인구_Z,상권활성도_Z,교통편의도_Z,공시지가_Z,놀이터개수_Z,Y
신흥1동,-0.6798734736355547,-0.65158367952909,-0.5724902896161946,-1.0548916049959667,0.7245025897693432,-0.9879741755243489,881.9
신흥2동,1.4842985658641528,-0.5703624531054167,0.8356235357705282,-0.5830216027611904,0.7245025897693432,-0.5263040000456812,2324.2
신흥3동,-0.8284362956069362,-0.6778989213878056,-0.5453837418123976,-0.7403116035061158,0.7245025897693432,0.14055292009017206,782.9
태평1동,-0.5055361635634049,-0.23081199888623413,0.20789295505101651,-0.5830216027611904,-0.13694488387064638,-0.9879741755243489,1391.8
태평2동,-0.5022175599452803,-0.7232456248803792,-0.5596503459196591,-0.37330160176795646,-0.13694488387064638,-0.32111725538849556,1394.9
태평3동,-0.7309799693546748,-0.6889062484540702,0.17079978437213628,-1.2121816057408923,-0.13694488387064638,-0.9879741755243489,1182.3
태평4동,-0.8056485507624801,-0.8389151033689994,-0.5696369687947423,-1.0548916049959667,-0.13694488387064638,-0.9879741755243489,1112.9
수진1동,-0.8210247475264578,-0.7757127951398541,-0.5539437042767545,-0.6354516030094989,0.7143165813402212,-0.7314907447028668,1221.5
수진2동,-0.42522595600478774,-0.3399271639288688,0.1194400095859944,-0.5830216027611904,0.7143165813402212,-0.9879741755243489,815.25
단대동,-0.4433676557838693,-0.6939254153952651,-0.5682103083840161,-0.216011601023031,-0.0023803112360609563,-0.11593051073130996,1087.0
산성동,-1.5191483286592862,-0.7960616520012275,-0.5653569875625638,-0.6878816032578073,1.3829592054578481,-0.8340841170314596,720.0
양지동,-1.0250082499205215,-0.8224639943708533,-0.5682103083840161,-0.9500316044993498,-0.8514673670008677,-0.7314907447028668,702.0
복정동,-0.5053149233221966,0.723907588763296,-0.5682103083840161,2.300628410895776,-0.6646646808665122,-0.628897372374274,730.0
위례동,3.001564140070756,1.7315842870461702,1.9869384872265416,-1.2646116059892007,1.0716337156854545,2.089826994333435,2708.0
신촌동,-1.5101880988903496,-0.7800024953021768,-0.5724902896161946,-0.9500316044993498,-1.5779328751482593,-0.9879741755243489,395.0
고등동,-0.7123957890931767,0.7484481577122182,-0.5653569875625638,-0.11115160052641404,-1.811488970358739,0.14055292009017206,546.0
시흥동,-1.6049895422481113,1.228208659368943,0.5945179263578066,1.8287584086609996,-1.6853542910616808,-0.9879741755243489,448.0
성남동,1.5139447581860666,1.105592915135242,0.13370661369325604,0.7277284034465217,0.5534833035444547,0.08925623392587566,2747.0
중앙동,-0.17456076271577026,-0.8095731187561576,-0.5610770063303854,-0.6878816032578073,2.1047811053727936,-0.26982056922419917,1750.0
금광1동,0.16338370572992625,-0.7535239399855047,0.049533649460412416,0.0985684004668199,0.13297667678123076,0.9612998987189145,1292.4
금광2동,0.566040944729054,-0.6036566234008045,0.03669370576387695,-0.11115160052641404,0.13297667678123076,-0.9366774893600525,766.3
은행1동,-0.9798752407140258,-0.9852657368257042,-0.5710636292054685,-1.3170416062375092,-0.6701232418930042,-0.9879741755243489,940.9
은행2동,0.25033112052479284,-0.7935357371848344,-0.5596503459196591,0.3082884014600538,-0.6701232418930042,0.03795954776157926,2072.1
상대원1동,0.462500511843564,0.05743625440689625,-0.06745250421913294,2.195768410399159,-0.12445104452033207,-0.9366774893600525,2581.3
상대원2동,-1.682755487032833,-0.8478755684288765,-0.5724902896161946,-0.2684416012713395,-0.12445104452033207,-0.9366774893600525,335.4
상대원3동,-0.7849625882095029,-0.926930169643661,-0.5610770063303854,-1.1597516054925836,-0.12445104452033207,-0.4750073138813848,1275.3
하대원동,0.1506623918604483,-0.5093049949574326,-0.5625036667411115,-0.5830216027611904,-0.9559417910075008,-0.32111725538849556,1612.0
도촌동,0.8378345810534652,0.7604680282178128,0.3462790148914543,1.514178407171149,-2.0319174742120296,1.4229700741975821,1824.0
분당동,0.6918160218559793,-0.37880665448636713,-0.5682103083840161,1.1471684054329896,-0.04993244617006632,0.6022230955688397,2091.0
수내1동,-0.03053336568915918,0.9908488795750418,-0.558223685508933,-0.216011601023031,1.0460717837438887,0.3457396647473577,1384.6
수내2동,-0.8597417897379124,-0.7365937781773529,-0.5596503459196591,-0.6354516030094989,1.0460717837438887,-0.4237106277170884,802.5
수내3동,-0.5472399490311718,-0.7097014954338579,-0.5596503459196591,-0.32087160151964794,1.0460717837438887,-0.9879741755243489,1021.9
정자동,-0.48695198330190675,-0.1858572476927559,1.2179685258451398,-1.3170416062375092,1.51545664672435,0.7048164678974325,644.3
정자1동,1.354651784516082,1.891043547394846,0.4975050184284276,0.9374484044397556,1.51545664672435,0.03795954776157926,2853.7
정자2동,-0.4710226859349083,-0.9267995188772958,-0.5639303271518377,-0.9500316044993498,1.51545664672435,-0.06463382456701355,651.05
정자3동,-0.17975990838416558,-0.7879068666672688,-0.5724902896161946,-0.37330160176795646,1.51545664672435,-0.9879741755243489,1549.6
서현1동,1.3809793732198712,2.596666561405338,0.9326364436999073,1.2520284059296065,-0.6991631471525234,2.5002004836478067,1263.05
서현2동,-0.1003346617903816,-0.3751484330281427,0.6687042677155671,-0.37330160176795646,0.3348929509600354,-0.9879741755243489,1366.9
이매1동,0.7102895819968734,-0.4809537786561933,-0.5696369687947423,0.4131484019566708,-1.267307848120306,0.24314629241876487,1680.8
이매2동,-0.5902711759461884,-0.6766250764157453,-0.5682103083840161,-0.8451716040027328,-1.267307848120306,0.19184960625446848,875.2
야탑1동,-0.1792068077811448,1.7338597878936968,-0.5639303271518377,0.20342840096343687,-0.38146858493551106,-0.9879741755243489,564.95
야탑2동,-0.2830791010284473,-0.6937185516818535,-0.5567970250982068,-0.47816160226457344,-0.38146858493551106,1.2690800157046929,1065.6
야탑3동,0.9354015274263309,-0.5793882435484763,-0.5625036667411115,1.409318406674532,-0.38146858493551106,1.525563446526175,1820.5
판교동,0.9064190558280419,0.8642156242756122,1.3706211897928393,0.15099840071512838,0.950154364074739,0.9612998987189145,1420.0
삼평동,0.5984526400660717,2.6553831933226126,-0.5468104022231237,1.2520284059296065,0.8098220171300798,1.3203767018689894,691.0
백현동,0.8960207644912513,1.052581366682579,1.018236068343477,0.46557840220497926,-0.16944653551195402,1.3716733880332859,906.5
금곡동,0.9476803608133921,0.9982197603108095,5.168391203145886,0.0985684004668199,-1.233535987975889,0.3457396647473577,2355.0
구미1동,-0.2292071022942233,0.28950467816300857,-0.5682103083840161,0.9898784046880641,-1.1564697606477756,-0.21852388305990275,654.1
구미동,1.0797607848147543,0.910705521973881,0.47467845185680896,1.409318406674532,-0.21374607124140393,1.8333435635119533,2132.8
운중동,2.266825299017952,1.012308267950519,1.1523421469517363,1.9336184091576165,-1.2320205724374027,2.192420366662028,2289.0
