구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도,설치연도,노후도,펫존거리,공공시설여부,면적,클러스터
중원구,성남동,556808,주택단지,실외,그린팰리스 아파트 놀이터,경기도 성남시 중원구 제일로53번길 3,328.0,2016-07-25,민간,흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-08-19,Y,Y,N,2025-07-05,37.43153167,127.1358119,2016,9,1.5469960986225955,0,328.0,2
수정구,위례동,556904,주택단지,실외,위례호반베르디움 유아놀이터,경기도 성남시 수정구 위례중앙로 216,328.0,2016-07-18,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-08-30,Y,Y,N,2025-07-05,37.4724477,127.1537921,2016,9,3.3919303763689204,0,328.0,2
수정구,위례동,556905,주택단지,실외,위례호반베르디움 5307동 놀이터,경기도 성남시 수정구 위례중앙로 216,328.0,2016-07-18,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+기타(1)+충격흡수용표면재(포설도포바닥재)(1),2022-08-30,Y,Y,N,2025-07-05,37.4724477,127.1537921,2016,9,3.3919303763689204,0,328.0,2
수정구,위례동,556906,주택단지,실외,위례호반베르디움 5304동 놀이터,경기도 성남시 수정구 위례중앙로 216,328.0,2016-07-18,민간,흔들놀이기구(2)+조합놀이대(1)+기타(1)+충격흡수용표면재(포설도포바닥재)(1),2022-08-31,Y,Y,N,2025-07-05,37.4724477,127.1537921,2016,9,3.3919303763689204,0,328.0,2
수정구,위례동,556955,주택단지,실외,위례자이 3310동 놀이터,경기도 성남시 수정구 위례순환로 100,180.0,2016-08-05,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-08-18,Y,Y,N,2025-07-05,37.4707022,127.1386198,2016,9,4.085461709488606,0,180.0,2
분당구,야탑3동,557296,주택단지,실외,목련주공1단지 102동옆 놀이터,경기도 성남시 분당구 판교로 607,328.0,2016-09-12,민간,그네(1)+흔들놀이기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-10-27,Y,Y,N,2025-07-05,37.40753137,127.1411822,2016,9,1.6609270976418282,0,328.0,2
수정구,위례동,558096,주상복합,실외,위례아트리버푸르지오 103동 놀이터,경기도 성남시 수정구 위례광장로 70,113.0,2016-11-15,민간,그네(1)+조합놀이대(1)+충격흡수용표면재(기타바닥재)(1),2022-11-18,Y,Y,N,2025-07-05,37.47073283,127.1412171,2016,9,3.921503410015771,0,113.0,2
수정구,위례동,558098,주상복합,실외,위례아트리버푸르지오 203동 놀이터,경기도 성남시 수정구 위례순환로 130,113.0,2016-11-15,민간,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(기타바닥재)(1),2022-11-18,Y,Y,N,2025-07-05,37.47071751,127.1422687,2016,9,3.8548112911712358,0,113.0,2
중원구,도촌동,559229,도시공원,실외,종알종알 어린이공원,경기도 성남시 중원구 여수동 614,316.5,2017-03-14,공공,흔들놀이기구(5)+조합놀이대(1)+기타(2)+충격흡수용표면재(모래)(1)+충격흡수용표면재(포설도포바닥재)(1),2023-03-28,Y,Y,N,2025-07-05,37.41699285,127.1364463,2017,8,1.3801644053613988,1,316.5,2
수정구,위례동,559336,도시공원,실외,위례신도시 주제공원 물이용놀이터,경기도 성남시 수정구 창곡동 168,316.5,2016-08-15,공공,물이용놀이기구(조합놀이대형)(1)+물이용놀이기구(대형버캣형)(1)+물이용놀이기구(기타)+ 단품)(2)+충격흡수용표면재(포설도포바닥재)(1),2023-06-22,Y,Y,Y,2025-07-05,37.4677724,127.1470056,2016,9,3.329069747569329,1,316.5,2
수정구,위례동,559603,주택단지,실외,위례자연앤센트럴자이 101동앞 놀이터(2),경기도 성남시 수정구 위례광장로 97,12.0,2017-04-14,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-27,Y,Y,N,2025-07-05,37.47374011,127.1388774,2017,8,4.304391997218466,0,12.0,2
수정구,위례동,559604,주택단지,실외,위례자연앤센트럴자이 108동앞 유아놀이터,경기도 성남시 수정구 위례광장로 97,467.9,2017-04-14,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-27,Y,Y,N,2025-07-05,37.47374011,127.1388774,2017,8,4.304391997218466,0,467.9,2
수정구,위례동,559605,주택단지,실외,위례자연앤센트럴자이 109동앞 놀이터(1),경기도 성남시 수정구 위례광장로 97,53.9,2017-04-14,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-27,Y,Y,N,2025-07-05,37.47374011,127.1388774,2017,8,4.304391997218466,0,53.9,2
수정구,위례동,559607,주택단지,실외,위례자연앤센트럴자이 111동앞 놀이터(3),경기도 성남시 수정구 위례광장로 97,21.7,2017-04-14,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-27,Y,Y,N,2025-07-05,37.47374011,127.1388774,2017,8,4.304391997218466,0,21.7,2
중원구,성남동,559863,주택단지,실외,성남여수 LH1단지 101동앞(목장놀이터),경기도 성남시 중원구 둔촌대로63번길 11,304.7,2017-04-03,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-05-16,Y,Y,N,2025-07-05,37.43235269,127.1251947,2017,8,0.7091060892163621,0,304.7,2
