구,행정동,사업장명,인허가일자,소재지지번주소,소재지도로명주소
수정구,신흥2동,포레스티아 튼튼약국,2022-12-14,경기도 성남시 수정구 신흥동 6953번지 산성역포레스티아아파트 405-1호 ,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 405-1호 (신흥동)"
수정구,신흥2동,산성메디칼약국,2024-02-08,경기도 성남시 수정구 신흥동 6969번지 ,"경기도 성남시 수정구 희망로 551, 산성역자이푸르지오 c1블록 106호(신흥동) (신흥동)"
수정구,신흥2동,한사랑약국,2024-02-15,경기도 성남시 수정구 신흥동 6969번지 ,"경기도 성남시 수정구 희망로 551, 산성역자이푸르지오C1블록 101,102호 (신흥동)"
수정구,신흥3동,큰나무약국,2024-04-30,"경기도 성남시 수정구 신흥동 947번지 정인빌딩 지하1층, 1층일부층 ","경기도 성남시 수정구 수정로 286, 정인빌딩 (신흥동)"
수정구,신흥2동,포레이든약국,2024-07-17,경기도 성남시 수정구 신흥동 6953번지 산성역포레스티아아파트 ,"경기도 성남시 수정구 수정로 291, 산성역포레스티아아파트 서문상가동 지1층 B107호 (신흥동)"
수정구,신흥2동,신동아약국,2024-12-11,경기도 성남시 수정구 신흥동 2465번지 7호 신동아파라디움 ,"경기도 성남시 수정구 공원로 322, 2층 225(일부)호 (신흥동, 신동아파라디움)"
수정구,신흥3동,신흥36.5온누리약국,2025-02-17,경기도 성남시 수정구 신흥동 4124번지 ,"경기도 성남시 수정구 산성대로 267, 신흥역 시네마타워 1층 110호 (신흥동)"
수정구,신흥3동,열린온누리약국,2025-02-28,경기도 성남시 수정구 신흥동 5521번지 진영빌딩 ,"경기도 성남시 수정구 수정로 174, 효산빌딩 1층 101호 (신흥동)"
수정구,신흥2동,두리온누리약국,2025-04-29,경기도 성남시 수정구 신흥동 2465번지 7호 신동아파라디움 ,"경기도 성남시 수정구 공원로 322, 1층 105호 (신흥동, 신동아파라디움)"
수정구,신흥3동,우리약국,2017-07-26,   ,"경기도 성남시 수정구 수정로 273 (신흥동, 수정빌딩)"
분당구,야탑1동,메트로 약국,2004-05-11,경기도 성남시 분당구 야탑동 360번지 6호 메트로빌딩 110호 ,"경기도 성남시 분당구 성남대로 926, 110호 (야탑동, 메트로빌딩 )"
분당구,야탑1동,그린탑약국,2013-05-28,경기도 성남시 분당구 야탑동 360번지 4호 궁전프라자 102호 ,"경기도 성남시 분당구 성남대로 934, 102호 (야탑동, 궁전프라자)"
분당구,야탑3동,사랑메디칼약국,2013-07-18,경기도 성남시 분당구 야탑동 219번지 1호 ,"경기도 성남시 분당구 장미로 198 (야탑동, 아델파크빌 B106-1, 2)"
분당구,야탑3동,한약국,2013-08-12,경기도 성남시 분당구 야탑동 151번지 분당테크노파크상가동 110호 ,"경기도 성남시 분당구 판교로 700, 110호 (야탑동, 분당테크노파크상가동)"
분당구,야탑1동,탑마을약국,2013-08-29,경기도 성남시 분당구 야탑동 367번지 5호 노블리치상가 A동 108호 ,"경기도 성남시 분당구 성남대로916번길 20, A동 108호 (야탑동, 노블리치상가)"
분당구,야탑1동,옵티마나무약국,2018-08-07,경기도 성남시 분당구 야탑동 361번지 3호 금탑프라자 109호 ,"경기도 성남시 분당구 성남대로926번길 12, 금탑프라자 109호 (야탑동)"
분당구,야탑2동,분당시민의약국,2018-08-23,경기도 성남시 분당구 야탑동 354번지 5호 대우빌딩 ,"경기도 성남시 분당구 야탑로65번길 6, 대우빌딩 1층 B10호 (야탑동)"
분당구,야탑2동,탑마을오렌지약국,2019-01-10,경기도 성남시 분당구 야탑동 353번지 1호 영진다이비스상가 ,"경기도 성남시 분당구 야탑로69번길 21, 영진다이비스상가 109,110,111호 (야탑동)"
분당구,야탑2동,정약국,2020-01-07,경기도 성남시 분당구 야탑동 174번지 6호 부건프라자 ,"경기도 성남시 분당구 야탑로 243, 부건프라자 102호 (야탑동)"
분당구,야탑1동,분당햇살약국,2020-09-24,경기도 성남시 분당구 야탑동 367번지 1호 분당BYC빌딩 ,"경기도 성남시 분당구 성남대로 912, 분당BYC빌딩 (야탑동)"
분당구,야탑2동,홈케어굿모닝약국,2020-12-30,경기도 성남시 분당구 야탑동 354번지 6호 강남프라자 ,"경기도 성남시 분당구 야탑로69번길 3, 강남프라자 101~105호일부, 204호 (야탑동)"
분당구,야탑3동,야탑그린약국,2021-02-25,경기도 성남시 분당구 야탑동 358번지 3호 분당아미고타워 ,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 307-1호 (야탑동)"
분당구,야탑2동,함께하는약국,2021-07-05,경기도 성남시 분당구 야탑동 502번지 야탑시장 ,"경기도 성남시 분당구 야탑로 64, 1층 (야탑동)"
분당구,야탑3동,선화약국,2021-07-05,경기도 성남시 분당구 야탑동 532번지 6호 정우스토아 ,"경기도 성남시 분당구 판교로 477, 정우스토아 102호 (야탑동)"
분당구,야탑2동,하루약국,2021-10-13,경기도 성남시 분당구 야탑동 355번지 4호 한주코아 104호 ,"경기도 성남시 분당구 야탑로69번길 8, 한주코아 104호 (야탑동)"
분당구,야탑3동,장미마을현대온누리약국,2022-10-23,경기도 성남시 분당구 야탑동 334번지 장미마을 현대A8차상사 1102호 ,"경기도 성남시 분당구 장미로 101, 1102호 (야탑동, 장미마을)"
분당구,야탑1동,메트로약국,2022-11-04,경기도 성남시 분당구 야탑동 360번지 6호 분당메트로 1층 ,"경기도 성남시 분당구 성남대로 926, 분당메트로 1층 (야탑동)"
분당구,야탑2동,분당세계로 약국,2022-11-08,경기도 성남시 분당구 야탑동 355번지 3호 금호프라자 1층 101호 ,"경기도 성남시 분당구 야탑로75번길 9, 금호프라자 1층 101호 (야탑동)"
분당구,야탑3동,야탑스마일약국,2023-02-09,경기도 성남시 분당구 야탑동 358번지 3호 분당아미고타워 305-1호 ,"경기도 성남시 분당구 야탑로81번길 10, 분당아미고타워 305-1호 (야탑동)"
분당구,야탑2동,새로운약국,2023-12-15,경기도 성남시 분당구 야탑동 355번지 6호 ,"경기도 성남시 분당구 야탑로69번길 2, 1층 (야탑동)"
수정구,양지동,푸른약국,2016-01-19,경기도 성남시 수정구 양지동 535번지 ,"경기도 성남시 수정구 산성대로 517 (양지동, 양지주차장)"
수정구,양지동,푸른약국,2016-01-25,경기도 성남시 수정구 양지동 534번지 ,"경기도 성남시 수정구 산성대로 517 (양지동, 양지주차장)"
수정구,양지동,다나온누리약국,2022-11-25,경기도 성남시 수정구 양지동 230번지 1층 ,"경기도 성남시 수정구 산성대로 531, 1층 (양지동)"
