구,행정동,시설번호,시설유형,실외,시설명,소재지주소,면적(제곱미터),설치일자,민간_공공구분,놀이기구종류,안전검사일_최종,안전관리자지정여부,보험가입여부,물놀이형놀이시설여부,데이터기준일자,위도,경도
분당구,삼평동,681,주택단지,실외,봇들마을9단지 금호어울림 912동 놀이터,경기도 성남시 분당구 동판교로 156,328.0,2009-06-08,민간,흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-04-20,Y,Y,N,2025-07-05,37.39513617,127.1195634
분당구,삼평동,682,주택단지,실외,봇들마을9단지 금호어울림 커뮤니케이션센터 2층 놀이터,경기도 성남시 분당구 동판교로 156,328.0,2009-06-08,민간,그네(1)+미끄럼틀(1)+흔들놀이기구(3)+오르는기구(1)+충격흡수용표면재(고무바닥재)(1),2023-04-20,Y,Y,N,2025-07-05,37.39513617,127.1195634
분당구,정자동,810,도시공원,실외,철쭉(48호) 어린이공원,경기도 성남시 분당구 정자동 108,316.5,2009-07-03,공공,그네(1)+미끄럼틀(1)+흔들놀이기구(9)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-05-31,Y,N,N,2025-07-05,37.3664199,127.1222222
분당구,삼평동,874,주택단지,실외,봇들마을7단지 701동 전면놀이터,경기도 성남시 분당구 동판교로 155,328.0,2009-07-15,민간,그네(1)+오르는기구(5)+건너는기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2022-10-25,Y,Y,N,2025-07-05,37.39658172,127.1146134
분당구,삼평동,875,주택단지,실외,봇들마을7단지 702동 후면놀이터,경기도 성남시 분당구 동판교로 155,328.0,2009-07-15,민간,흔들놀이기구(4)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-25,Y,Y,N,2025-07-05,37.39658172,127.1146134
분당구,운중동,896,주택단지,실외,산운마을11단지 휴먼시아 1103동앞 놀이터,경기도 성남시 분당구 판교원로 68,328.0,2009-07-17,민간,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-28,Y,Y,N,2025-07-05,37.38916312,127.07512
분당구,운중동,897,주택단지,실외,산운마을11단지 휴먼시아 1105동앞 놀이터,경기도 성남시 분당구 판교원로 68,328.0,2009-07-17,민간,흔들놀이기구(8)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-28,Y,Y,N,2025-07-05,37.38916312,127.07512
분당구,운중동,898,주택단지,실외,산운마을12단지 휴먼시아 1206동앞 놀이터,경기도 성남시 분당구 판교원로 46,328.0,2009-07-17,민간,흔들놀이기구(3)+조합놀이대(2)+충격흡수용표면재(포설도포바닥재)(1),2023-11-01,Y,Y,N,2025-07-05,37.38942324,127.0726657
분당구,운중동,899,주택단지,실외,산운마을12단지 휴먼시아 1207동앞 놀이터,경기도 성남시 분당구 판교원로 46,328.0,2009-07-17,민간,흔들놀이기구(5)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-07,Y,Y,N,2025-07-05,37.38942324,127.0726657
분당구,이매1동,915,도시공원,실외,과수원(20호) 어린이공원,경기도 성남시 분당구 이매동 103,316.5,2009-07-24,공공,그네(1)+흔들놀이기구(9)+조합놀이대(2)+충격흡수용표면재(모래)(1),2023-06-05,Y,Y,N,2025-07-05,37.40239208,127.1259935
분당구,판교동,941,주택단지,실외,판교원마을2단지푸르지오 놀이터,경기도 성남시 분당구 판교로 30,328.0,2009-07-31,민간,그네(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-23,Y,Y,N,2025-07-05,37.38941308,127.0872895
분당구,분당동,988,도시공원,실외,선지봉(42호) 어린이공원,경기도 성남시 분당구 분당동 179,316.5,2009-08-13,공공,그네(1)+흔들놀이기구(3)+조합놀이대(1)+충격흡수용표면재(모래)(1),2023-12-27,Y,Y,N,2025-07-05,37.36556153,127.1413484
분당구,정자동,1028,도시공원,실외,정자공원 놀이터,경기도 성남시 분당구 정자동 252,95.0,2009-08-21,공공,흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-08-14,Y,Y,N,2025-07-05,37.35591134,127.1214976
분당구,판교동,1115,주택단지,실외,판교원마을3단지 유아놀이터,경기도 성남시 분당구 판교로 20,328.0,2009-09-03,민간,흔들놀이기구(2)+건너는기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-06-02,Y,Y,N,2025-07-05,37.3871768,127.0862328
분당구,판교동,1116,주택단지,실외,판교원마을3단지 산오름놀이터,경기도 성남시 분당구 판교로 20,328.0,2009-09-03,민간,그네(1)+흔들놀이기구(1)+건너는기구(1)+조합놀이대(3)+충격흡수용표면재(포설도포바닥재)(1),2023-06-23,Y,Y,N,2025-07-05,37.3871768,127.0862328
분당구,백현동,1168,주택단지,실외,백현마을 6단지 휴먼시아 놀이터(1),경기도 성남시 분당구 판교역로 100,328.0,2009-09-17,민간,그네(1)+흔들놀이기구(2)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-08,Y,Y,N,2025-07-05,37.38998304,127.1106854
분당구,백현동,1169,주택단지,실외,백현마을 6단지 휴먼시아 놀이터(2),경기도 성남시 분당구 판교역로 100,328.0,2009-09-17,민간,회전놀이기구(1)+흔들놀이기구(2)+오르는기구(1)+조합놀이대(1)+충격흡수용표면재(포설도포바닥재)(1),2023-09-08,Y,Y,N,2025-07-05,37.38998304,127.1106854
